"scientific.name","common.name","observed.on","location","listing.status","latitude","longitude","url","preserve","polygonloc","iconic.taxon.name","groups","place.guess","positional.accuracy","user.login","user.id","captive.cultivated","image.url","license","count","checklist"
"Anas rubripes","american black duck","2025-11-21","Cable Crossing Road, Southwest Harbor",NA,44.2564713,-68.2944961,"https://ebird.org/checklist/S285763784","Manset Fields","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anas rubripes","american black duck","2025-12-14","Cable Crossing Road, Southwest Harbor",NA,44.2564713,-68.2944961,"https://ebird.org/checklist/S288607059","Manset Fields","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anas rubripes","american black duck","2026-01-20","Cable Crossing Road, Southwest Harbor",NA,44.2564713,-68.2944961,"https://ebird.org/checklist/S295416343","Manset Fields","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anas rubripes","american black duck","2026-02-13","Cable Crossing Road, Southwest Harbor",NA,44.2564713,-68.2944961,"https://ebird.org/checklist/S300028185","Manset Fields","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolboschoenus maritimus","sea clubrush","2025-09-22","Mount Desert Island, Bernard, ME, US",NA,44.2433822561,-68.3674032224,"https://www.inaturalist.org/observations/315787794","Mitchell Marsh Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lysimachia maritima","sea milkwort","2025-09-22","Mount Desert Island, Bernard, ME, US",NA,44.2423337885,-68.3675057721,"https://www.inaturalist.org/observations/315787857","Mitchell Marsh Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spergularia canadensis","canada sand-spurry","2025-09-23","Mount Desert Island, Bernard, ME, US",NA,44.2417521866,-68.366472558,"https://www.inaturalist.org/observations/316029112","Mitchell Marsh Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anas rubripes","american black duck","2025-10-24","Pray’s Brook Marsh (MCHT)",NA,44.3801976,-68.3558974,"https://ebird.org/checklist/S281109024","Prays Brook Marsh Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anas rubripes","american black duck","2026-01-18","Sipp Bay Trail",NA,44.944335,-67.1282748,"https://ebird.org/checklist/S294981971","Sipp Bay Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anas rubripes","american black duck","2026-01-20","Northern Bay Take Out",NA,44.465842,-68.717039,"https://ebird.org/checklist/S295362648","Wardwell","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Histrionicus histrionicus","harlequin duck","2026-02-08","Western Head Preserve (MCHT), Cutler","state threatened",44.6524746,-67.2069311,"https://ebird.org/checklist/S298947651","Western Head Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anas rubripes","american black duck","2025-10-25","Woodward Point Preserve",NA,43.8744915,-69.9015922,"https://ebird.org/checklist/S281237190","Woodward Point Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anas rubripes","american black duck","2026-01-01","Woodward Point Preserve",NA,43.8744915,-69.9015922,"https://ebird.org/checklist/S291701764","Woodward Point Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bucephala islandica","barrow's goldeneye","2026-01-01","Woodward Point Preserve","state threatened",43.8744915,-69.9015922,"https://ebird.org/checklist/S291701764","Woodward Point Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anas rubripes","american black duck","2026-01-22","Woodward Point Preserve",NA,43.8744915,-69.9015922,"https://ebird.org/checklist/S295715218","Woodward Point Preserve","preserve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euthamia graminifolia","flat-topped goldenrod","2025-09-24","Echo Lake Beach Rd, Mount Desert, ME, US",NA,44.314975,-68.3362366667,"https://www.inaturalist.org/observations/316432185","Acadia Mountain Preserve","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Litylenchus crenatae","beech leaf disease","2025-09-26",NA,NA,44.3296681586,-68.2903323323,"https://www.inaturalist.org/observations/316885717","Acadia Mountain Preserve","buffer","Animalia","Other animals","Mt Desert, ME 04660, USA",360,"momtodem",3028240,"false","https://static.inaturalist.org/photos/572566964/medium.jpg","",NA,NA
"Calluna vulgaris","common heather","2025-10-09",NA,NA,44.3194519722,-68.3169529722,"https://www.inaturalist.org/observations/319854947","Acadia Mountain Preserve","buffer","Plantae","Plants","Mt Desert, ME 04660, USA",NA,"coast_companion",256926,"false","https://inaturalist-open-data.s3.amazonaws.com/photos/578230675/medium.jpg","CC-BY-NC",NA,NA
"Epigaea repens","trailing arbutus","2025-10-09","Southwest Harbor, ME 04679, USA",NA,44.3051611806,-68.3194487169,"https://www.inaturalist.org/observations/319853822","Acadia Mountain Preserve","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus americana","white ash","2025-10-09","Mt Desert, ME 04660, USA",NA,44.3160531551,-68.3172241598,"https://www.inaturalist.org/observations/319855519","Acadia Mountain Preserve","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Verbascum thapsus","great mullein","2025-10-23",NA,NA,44.3111274997,-68.3197420997,"https://www.inaturalist.org/observations/322866894","Acadia Mountain Preserve","buffer","Plantae","Plants","Mt Desert, ME 04660, USA",NA,"wanderingeden",4465482,"false","https://inaturalist-open-data.s3.amazonaws.com/photos/584147156/medium.jpg","CC-BY-NC",NA,NA
"Solidago flexicaulis","broad-leaved goldenrod","2025-10-23","Mt Desert, ME 04660, USA",NA,44.3113523,-68.3199714,"https://www.inaturalist.org/observations/322867543","Acadia Mountain Preserve","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tsuga canadensis","eastern hemlock","2025-10-23","Southwest Harbor, ME 04679, USA",NA,44.3025188,-68.319253,"https://www.inaturalist.org/observations/322865053","Acadia Mountain Preserve","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Woodsia ilvensis","rusty woodsia","2025-10-23","Mt Desert, ME 04660, USA",NA,44.3114149997,-68.3200338,"https://www.inaturalist.org/observations/322867333","Acadia Mountain Preserve","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epigaea repens","trailing arbutus","2025-10-23","Mt Desert, ME 04660, USA",NA,44.3116202,-68.3200211997,"https://www.inaturalist.org/observations/322866963","Acadia Mountain Preserve","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epigaea repens","trailing arbutus","2025-11-27","Acadia National Park, Mount Desert, ME, US",NA,44.3312578689,-68.2841467338,"https://www.inaturalist.org/observations/328505941","Acadia Mountain Preserve","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epigaea repens","trailing arbutus","2025-11-28","Mt Desert, ME, USA",NA,44.3264934962,-68.2937152964,"https://www.inaturalist.org/observations/328974958","Acadia Mountain Preserve","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epigaea repens","trailing arbutus","2025-11-28","Mt Desert, ME, USA",NA,44.326745645,-68.2938897141,"https://www.inaturalist.org/observations/328974957","Acadia Mountain Preserve","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epigaea repens","trailing arbutus","2025-11-28","Mt Desert, ME, USA",NA,44.3084067947,-68.2887049682,"https://www.inaturalist.org/observations/328973436","Acadia Mountain Preserve","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toxicodendron rydbergii","western poison ivy","2026-01-16","Hancock County, US-ME, US",NA,44.3354003817,-68.274023714,"https://www.inaturalist.org/observations/335113716","Acadia Mountain Preserve","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asclepias syriaca","common milkweed","2025-09-26","Mt Battie Rd, Camden, ME, US",NA,44.2233402863,-69.0693363698,"https://www.inaturalist.org/observations/316809525","Aldermere Farm","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euonymus alatus","winged euonymus","2025-09-28",NA,NA,44.2147416667,-69.0785138333,"https://www.inaturalist.org/observations/317373637","Aldermere Farm","buffer","Plantae","Plants","Ames Terr, Camden, ME, US",20,"jeffbrown-dfw",6524561,"false","https://static.inaturalist.org/photos/573480231/medium.jpg","",NA,NA
"Euonymus alatus","winged euonymus","2025-09-28",NA,NA,44.2147416667,-69.0785138333,"https://www.inaturalist.org/observations/317373637","Aldermere Farm","buffer","Plantae","Plants","Ames Terr, Camden, ME, US",20,"jeffbrown-dfw",6524561,"false","https://static.inaturalist.org/photos/573480231/medium.jpg","",NA,NA
"Euonymus alatus","winged euonymus","2025-09-28",NA,NA,44.2147416667,-69.0785138333,"https://www.inaturalist.org/observations/317373637","Aldermere Farm","buffer","Plantae","Plants","Ames Terr, Camden, ME, US",20,"jeffbrown-dfw",6524561,"false","https://static.inaturalist.org/photos/573480231/medium.jpg","",NA,NA
"Euonymus alatus","winged euonymus","2025-09-28",NA,NA,44.2147416667,-69.0785138333,"https://www.inaturalist.org/observations/317373637","Aldermere Farm","buffer","Plantae","Plants","Ames Terr, Camden, ME, US",20,"jeffbrown-dfw",6524561,"false","https://static.inaturalist.org/photos/573480231/medium.jpg","",NA,NA
"Euonymus alatus","winged euonymus","2025-09-28",NA,NA,44.2147416667,-69.0785138333,"https://www.inaturalist.org/observations/317373637","Aldermere Farm","buffer","Plantae","Plants","Ames Terr, Camden, ME, US",20,"jeffbrown-dfw",6524561,"false","https://static.inaturalist.org/photos/573480231/medium.jpg","",NA,NA
"Euonymus alatus","winged euonymus","2025-09-28",NA,NA,44.2147416667,-69.0785138333,"https://www.inaturalist.org/observations/317373637","Aldermere Farm","buffer","Plantae","Plants","Ames Terr, Camden, ME, US",20,"jeffbrown-dfw",6524561,"false","https://static.inaturalist.org/photos/573480231/medium.jpg","",NA,NA
